name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug,twitter_id
Daymar College-Online,,"$22,100 USD",7:1,100%,"$18,348 USD",,,,"Louisville, Kentucky",,,8376,Daymar-College-Online,
Daymar College-Owensboro,,"$22,100 USD",12:1,100%,"$22,366 USD",,,,"Owensboro, Kentucky",,,1638,Daymar-College-Owensboro,
Daymar College-Paducah Main,,"$23,900 USD",3:1,75%,"$25,059 USD",,,,"Paducah, Kentucky",,,1611,Daymar-College-Paducah-Main,
Daymar Institute-Clarksville,,"$22,500 USD",22:1,100%,"$23,372 USD",,,,"Clarksville, Tennessee",,,5043,Daymar-Institute-Clarksville,
Daymar Institute-Murfreesboro,,"$22,500 USD",11:1,100%,"$22,729 USD",,,,"Murfreesboro, Tennessee",,,6474,Daymar-Institute-Murfreesboro,
Daymar Institute-Nashville,,"$22,500 USD",10:1,100%,"$22,700 USD",,,,"Nashville, Tennessee",,,3981,Daymar-Institute-Nashville,
Daytona State College,,"$27,600 USD",20:1,75%,"$4,959 USD",,,,"Daytona Beach, Florida",,,835,Daytona-State-College,
Dean College,62%,"$31,000 USD",19:1,100%,"$27,417 USD",,67.4%,1290,"Franklin, Massachusetts",1290,"1,363",1910,Dean-College,
Defiance College,46%,"$37,800 USD",11:1,100%,"$23,824 USD",,65.2%,1312,"Defiance, Ohio",1312,751,3254,Defiance-College,
Delaware State University,37%,"$33,600 USD",15:1,97%,"$12,951 USD",,44.4%,1315,"Dover, Delaware",1315,"4,288",792,Delaware-State-University,
Delaware Valley University,57%,"$39,500 USD",15:1,100%,"$27,658 USD",,68.7%,1465,"Doylestown, Pennsylvania",1465,"2,266",3613,Delaware-Valley-University,
Delta State University,36%,"$34,100 USD",14:1,99%,"$12,883 USD",,87.0%,1455,"Cleveland, Mississippi",1455,"3,454",2249,Delta-State-University,
Denison University,81%,"$49,500 USD",10:1,99%,"$28,761 USD",116,47.9%,1890,"Granville, Ohio",1890,"2,254",3255,Denison-University,
Denver School of Nursing,,,16:1,,,,,,"Denver, Colorado",,,8055,Denver-School-of-Nursing,
DePaul University,70%,"$50,300 USD",16:1,97%,"$30,676 USD",,72.0%,1732,"Chicago, Illinois",1732,"23,539",1168,DePaul-University,
DePauw University,79%,"$47,700 USD",10:1,99%,"$29,549 USD",107,64.8%,1745,"Greencastle, Indiana",1745,"2,265",1329,DePauw-University,
DeSales University,70%,"$47,700 USD",13:1,100%,"$28,228 USD",381,77.6%,1550,"Center Valley, Pennsylvania",1550,"3,136",3565,DeSales-University,
Design Institute of San Diego,67%,"$32,400 USD",9:1,50%,"$25,914 USD",,,,"San Diego, California",,,340,Design-Institute-of-San-Diego,
DeVry College of New York,19%,,29:1,88%,"$23,387 USD",,84.2%,,"New York, New York",,"1,875",8923,DeVry-College-of-New-York,
DeVry University-Arizona,25%,,15:1,98%,"$25,866 USD",,84.5%,,"Phoenix, Arizona",,"1,200",8924,DeVry-University-Arizona,
DeVry University-California,33%,,18:1,95%,"$24,122 USD",,87.7%,,"Pomona, California",,"6,166",8925,DeVry-University-California,
DeVry University-Colorado,38%,,13:1,100%,"$26,549 USD",,85.7%,,"Westminster, Colorado",,717,8926,DeVry-University-Colorado,
DeVry University-Florida,34%,,18:1,85%,"$24,268 USD",,78.4%,,"Miramar, Florida",,"1,925",8927,DeVry-University-Florida,
DeVry University-Georgia,30%,,26:1,100%,"$27,502 USD",,84.4%,,"Decatur, Georgia",,"2,473",8928,DeVry-University-Georgia,
DeVry University-Illinois,28%,,14:1,98%,"$25,732 USD",,77.9%,,"Chicago, Illinois",,"22,273",8929,DeVry-University-Illinois,
DeVry University-Indiana,14%,,5:1,100%,"$21,824 USD",,,,"Merrillville, Indiana",,,8930,DeVry-University-Indiana,
DeVry University-Maryland,43%,,33:1,100%,"$28,993 USD",,,,"Bethesda, Maryland",,,8932,DeVry-University-Maryland,
DeVry University-Michigan,,,1:1,100%,"$27,089 USD",,,,"Southfield, Michigan",,,8933,DeVry-University-Michigan,
DeVry University-Minnesota,20%,,13:1,100%,"$18,818 USD",,,,"Edina, Minnesota",,,8934,DeVry-University-Minnesota,
DeVry University-Missouri,29%,,12:1,100%,"$26,405 USD",,86.4%,,"Kansas City, Missouri",,484,8935,DeVry-University-Missouri,
DeVry University-Nevada,20%,,15:1,100%,"$26,709 USD",,,,"Henderson, Nevada",,,8936,DeVry-University-Nevada,
DeVry University-New Jersey,20%,,14:1,99%,"$18,764 USD",,87.1%,,"North Brunswick, New Jersey",,"1,235",8937,DeVry-University-New-Jersey,
DeVry University-North Carolina,9%,,11:1,100%,"$26,522 USD",,,,"Charlotte, North Carolina",,,8938,DeVry-University-North-Carolina,
DeVry University-Ohio,33%,,22:1,100%,"$24,210 USD",,85.6%,,"Columbus, Ohio",,"2,307",8939,DeVry-University-Ohio,
DeVry University-Oklahoma,33%,,18:1,100%,"$20,517 USD",,,,"Oklahoma City, Oklahoma",,,8940,DeVry-University-Oklahoma,
DeVry University-Oregon,0%,,1:1,50%,"$19,952 USD",,,,"Portland, Oregon",,,8941,DeVry-University-Oregon,
DeVry University-Pennsylvania,22%,,15:1,97%,"$25,752 USD",,86.3%,,"Fort Washington, Pennsylvania",,679,8942,DeVry-University-Pennsylvania,
DeVry University-Tennessee,0%,,18:1,100%,"$21,977 USD",,88.2%,,"Nashville, Tennessee",,257,8943,DeVry-University-Tennessee,
DeVry University-Texas,23%,,14:1,89%,"$28,490 USD",,93.8%,,"Irving, Texas",,"1,796",8944,DeVry-University-Texas,
DeVry University-Utah,,,2:1,,,,,,"Sandy, Utah",,,8945,DeVry-University-Utah,
DeVry University-Virginia,23%,,17:1,92%,"$25,909 USD",,90.0%,,"Arlington, Virginia",,948,8946,DeVry-University-Virginia,
DeVry University-Washington,27%,,1:1,100%,"$22,938 USD",,,,"Federal Way, Washington",,,8947,DeVry-University-Washington,
DeVry University-Wisconsin,0%,,1:1,100%,"$25,692 USD",,,,"Milwaukee, Wisconsin",,,8948,DeVry-University-Wisconsin,
Dewey University-Carolina,,"$16,100 USD",19:1,97%,"$7,489 USD",,,,"Carolina, Puerto Rico",,,8981,Dewey-University-Carolina,
Dewey University-Hato Rey,76%,"$16,100 USD",19:1,98%,"$4,701 USD",,,,"Hato Rey, Puerto Rico",,,6421,Dewey-University-Hato-Rey,
Dewey University-Juana Diaz,,"$16,100 USD",18:1,93%,"$7,053 USD",,,,"Juana Diaz, Puerto Rico",,,8985,Dewey-University-Juana-Diaz,
Dewey University-Manati,,"$16,100 USD",19:1,95%,"$6,724 USD",,,,"Manati, Puerto Rico",,,8991,Dewey-University-Manati,
Dickinson College,86%,"$53,300 USD",10:1,75%,"$34,079 USD",132,47.1%,1912,"Carlisle, Pennsylvania",1912,"2,420",3614,Dickinson-College,
Dickinson State University,38%,"$38,800 USD",10:1,91%,"$11,134 USD",,93.1%,1432,"Dickinson, North Dakota",1432,"1,317",3158,Dickinson-State-University,
DigiPen Institute of Technology,56%,"$79,400 USD",13:1,68%,"$33,624 USD",,46.6%,1776,"Redmond, Washington",1776,"1,076",6408,DigiPen-Institute-of-Technology,
Digital Media Arts College,35%,,13:1,100%,"$17,011 USD",,,,"Boca Raton, Florida",,,7384,Digital-Media-Arts-College,
Dillard University,46%,"$32,800 USD",12:1,100%,"$18,001 USD",,47.6%,1320,"New Orleans, Louisiana",1320,"1,185",1686,Dillard-University,
Dine College,,"$20,900 USD",12:1,91%,"$3,841 USD",,,,"Tsaile, Arizona",,,118,Dine-College,
Divine Word College,44%,,5:1,100%,"$7,454 USD",,100.0%,1672,"Epworth, Iowa",1672,81,1440,Divine-Word-College,
Dixie State University,18%,"$33,600 USD",19:1,83%,"$12,525 USD",,,,"Saint George, Utah",,,4303,Dixie-State-University,
Doane University-Arts & Sciences,60%,"$42,900 USD",11:1,100%,"$22,339 USD",,76.6%,1410,"Crete, Nebraska",1410,"1,057",2462,Doane-University-Arts-And-Sciences,
Doane University-Graduate and Professional Studies,0%,"$42,900 USD",14:1,0%,,,,,"Lincoln, Nebraska",,,6826,Doane-University-Graduate-and-Professional-Studies,
Dominican College of Blauvelt,36%,"$49,500 USD",16:1,98%,"$19,779 USD",,71.5%,1310,"Orangeburg, New York",1310,"2,061",2776,Dominican-College-of-Blauvelt,
Dominican University,63%,"$42,600 USD",11:1,100%,"$18,730 USD",429,62.8%,1435,"River Forest, Illinois",1435,"3,696",1277,Dominican-University,
Dominican University of California,53%,"$51,700 USD",9:1,99%,"$34,908 USD",,78.8%,1555,"San Rafael, California",1555,"1,863",343,Dominican-University-of-California,
Donnelly College,,"$23,600 USD",10:1,83%,"$10,442 USD",,,,"Kansas City, Kansas",,,1530,Donnelly-College,
Dordt College,62%,"$38,100 USD",15:1,100%,"$25,189 USD",,69.8%,1675,"Sioux Center, Iowa",1675,"1,458",1441,Dordt-College,
Dowling College,34%,"$41,700 USD",14:1,97%,"$24,528 USD",,,1395,"Oakdale, New York",1395,,2777,Dowling-College,
Drake University,70%,"$55,700 USD",13:1,99%,"$27,652 USD",194,66.9%,1822,"Des Moines, Iowa",1822,"4,991",1442,Drake-University,
Drew University,69%,"$50,300 USD",10:1,98%,"$29,067 USD",314,70.3%,1665,"Madison, New Jersey",1665,"2,082",2575,Drew-University,
Drexel University,70%,"$62,600 USD",10:1,100%,"$40,615 USD",,74.7%,1803,"Philadelphia, Pennsylvania",1803,"25,595",3617,Drexel-University,
Drury University,54%,"$31,700 USD",19:1,94%,"$21,506 USD",,84.2%,,"Springfield, Missouri",,"3,688",2315,Drury-University,
Duke University,94%,"$76,700 USD",7:1,62%,"$21,295 USD",8,11.4%,2190,"Durham, North Carolina",2190,"15,984",3053,Duke-University,
Duluth Business University,,"$23,500 USD",7:1,100%,"$29,873 USD",,,,"Duluth, Minnesota",,,2157,Duluth-Business-University,
Dunwoody College of Technology,,"$46,600 USD",10:1,79%,"$25,617 USD",,75.3%,,"Minneapolis, Minnesota",,"1,094",2233,Dunwoody-College-of-Technology,
Duquesne University,76%,"$54,600 USD",13:1,99%,"$27,948 USD",207,75.6%,1687,"Pittsburgh, Pennsylvania",1687,"9,404",3620,Duquesne-University,
Eagle Gate College-Layton,,"$29,500 USD",12:1,100%,"$20,211 USD",,,,"Layton, Utah",,,6749,Eagle-Gate-College-Layton,
Eagle Gate College-Murray,,"$29,500 USD",12:1,97%,"$19,097 USD",,,,"Murray, Utah",,,4308,Eagle-Gate-College-Murray,
Earlham College,71%,"$33,400 USD",9:1,97%,"$23,258 USD",430,61.6%,1825,"Richmond, Indiana",1825,"1,067",1332,Earlham-College,
East Carolina University,56%,"$39,000 USD",18:1,76%,"$13,300 USD",,69.0%,1550,"Greenville, North Carolina",1550,"28,289",3055,East-Carolina-University,
East Central University,34%,"$34,500 USD",18:1,95%,"$6,590 USD",,46.0%,1455,"Ada, Oklahoma",1455,"4,444",3437,East-Central-University,
East Georgia State College,,"$30,000 USD",28:1,96%,"$5,744 USD",,,1267,"Swainsboro, Georgia",1267,,1014,East-Georgia-State-College,
East Stroudsburg University of Pennsylvania,56%,"$43,000 USD",22:1,87%,"$16,138 USD",,84.0%,1385,"East Stroudsburg, Pennsylvania",1385,"6,828",3621,East-Stroudsburg-University-of-Pennsylvania,
East Tennessee State University,41%,"$34,800 USD",17:1,96%,"$14,646 USD",,79.2%,1477,"Johnson City, Tennessee",1477,"14,334",3983,East-Tennessee-State-University,
East Texas Baptist University,33%,"$37,100 USD",13:1,100%,"$21,361 USD",,55.3%,1507,"Marshall, Texas",1507,"1,308",4121,East-Texas-Baptist-University,
East-West University,10%,"$23,000 USD",16:1,100%,"$30,202 USD",,,,"Chicago, Illinois",,,1173,East-West-University,
Eastern Connecticut State University,51%,"$43,400 USD",16:1,83%,"$16,446 USD",,63.6%,1530,"Willimantic, Connecticut",1530,"5,261",739,Eastern-Connecticut-State-University,
Eastern Florida State College,,"$28,100 USD",19:1,70%,"$5,455 USD",,,,"Cocoa, Florida",,,824,Eastern-Florida-State-College,
Eastern Illinois University,60%,"$39,900 USD",15:1,94%,"$15,549 USD",,50.2%,,"Charleston, Illinois",,"8,520",1174,Eastern-Illinois-University,
Eastern International College-Belleville,,"$31,200 USD",12:1,97%,"$18,792 USD",,,,"Belleville, New Jersey",,,8984,Eastern-International-College-Belleville,
Eastern International College-Jersey City,,"$31,200 USD",12:1,100%,"$19,075 USD",,,,"Jersey City, New Jersey",,,8979,Eastern-International-College-Jersey-City,
Eastern Kentucky University,39%,"$34,100 USD",16:1,97%,"$12,492 USD",,70.6%,1462,"Richmond, Kentucky",1462,"16,844",1601,Eastern-Kentucky-University,
Eastern Mennonite University,63%,"$37,500 USD",10:1,98%,"$24,144 USD",,61.7%,1500,"Harrisonburg, Virginia",1500,"1,773",4372,Eastern-Mennonite-University,
Eastern Michigan University,38%,"$37,100 USD",18:1,98%,"$12,782 USD",,74.8%,1506,"Ypsilanti, Michigan",1506,"21,824",2051,Eastern-Michigan-University,
Eastern Nazarene College,58%,"$44,900 USD",14:1,100%,"$19,512 USD",,61.3%,1450,"Quincy, Massachusetts",1450,"1,101",1913,Eastern-Nazarene-College,
Eastern New Mexico University-Main Campus,29%,"$29,300 USD",19:1,96%,"$10,562 USD",,49.8%,1395,"Portales, New Mexico",1395,"5,725",2654,Eastern-New-Mexico-University-Main-Campus,
Eastern Oregon University,23%,"$37,200 USD",17:1,95%,"$14,929 USD",,97.3%,1390,"La Grande, Oregon",1390,"3,488",3502,Eastern-Oregon-University,
Eastern University,55%,"$41,300 USD",10:1,100%,"$24,583 USD",,52.2%,1515,"Saint Davids, Pennsylvania",1515,"3,505",3622,Eastern-University,
Eastern Washington University,45%,"$41,000 USD",22:1,94%,"$12,318 USD",,82.1%,1435,"Cheney, Washington",1435,"12,361",4468,Eastern-Washington-University,
Eastwick College-Ramsey,,"$35,100 USD",11:1,96%,"$24,977 USD",,69.2%,,"Ramsey, New Jersey",,710,36495,Eastwick-College-Ramsey,
Ecclesia College,17%,,11:1,100%,"$16,819 USD",,59.6%,1335,"Springdale, Arkansas",1335,283,6649,Ecclesia-College,
Eckerd College,66%,"$40,700 USD",12:1,96%,"$31,902 USD",,71.7%,1657,"Saint Petersburg, Florida",1657,"2,023",837,Eckerd-College,
ECPI University,27%,"$37,000 USD",20:1,82%,"$18,897 USD",,84.4%,,"Virginia Beach, Virginia",,"11,735",4839,ECPI-University,
Edgewood College,57%,"$42,000 USD",10:1,100%,"$23,433 USD",,76.8%,1566,"Madison, Wisconsin",1566,"2,678",4595,Edgewood-College,
Edinboro University of Pennsylvania,46%,"$34,400 USD",19:1,94%,"$14,089 USD",,95.7%,1400,"Edinboro, Pennsylvania",1400,"6,548",3623,Edinboro-University-of-Pennsylvania,
EDP Univeristy of Puerto Rico Inc-San Juan,27%,"$17,900 USD",16:1,89%,"$7,167 USD",,89.2%,,"San Juan, Puerto Rico",,"1,716",4760,EDP-Univeristy-of-Puerto-Rico-Inc-San-Juan,
EDP University of Puerto Rico Inc-San Sebastian,42%,"$17,900 USD",15:1,94%,"$8,889 USD",,,,"San Sebastian, Puerto Rico",,,4692,EDP-University-of-Puerto-Rico-Inc-San-Sebastian,
Edward Waters College,20%,"$23,900 USD",15:1,100%,"$11,746 USD",,53.7%,1162,"Jacksonville, Florida",1162,"2,254",839,Edward-Waters-College,
Elizabeth City State University,42%,"$29,500 USD",15:1,97%,"$2,345 USD",,70.0%,1235,"Elizabeth City, North Carolina",1235,"1,585",3057,Elizabeth-City-State-University,
Elizabethtown College,77%,"$48,000 USD",12:1,100%,"$28,572 USD",180,70.7%,1672,"Elizabethtown, Pennsylvania",1672,"1,820",3624,Elizabethtown-College,
Elizabethtown College School of Continuing and Professional Studies,,"$48,000 USD",7:1,,,,,,"Elizabethtown, Pennsylvania",,,8888,Elizabethtown-College-School-of-Continuing-and-Professional-Studies,
Elmhurst College,74%,"$48,400 USD",14:1,91%,"$23,688 USD",249,54.8%,1612,"Elmhurst, Illinois",1612,"3,298",1176,Elmhurst-College,
Elmira College,63%,"$42,500 USD",12:1,100%,"$24,358 USD",,76.2%,1590,"Elmira, New York",1590,"1,376",2781,Elmira-College,
Elon University,82%,"$46,500 USD",12:1,63%,"$33,450 USD",170,57.2%,1800,"Elon, North Carolina",1800,"6,631",3058,Elon-University,
Embry-Riddle Aeronautical University-Daytona Beach,56%,"$61,500 USD",15:1,92%,"$31,517 USD",,69.0%,1625,"Daytona Beach, Florida",1625,"5,806",840,Embry-Riddle-Aeronautical-University-Daytona-Beach,
Embry-Riddle Aeronautical University-Prescott,59%,"$61,500 USD",17:1,94%,"$32,952 USD",,79.1%,1705,"Prescott, Arizona",1705,"2,265",102,Embry-Riddle-Aeronautical-University-Prescott,
Embry-Riddle Aeronautical University-Worldwide,58%,"$61,500 USD",14:1,59%,"$18,330 USD",,65.7%,,"Daytona Beach, Florida",,"13,740",5798,Embry-Riddle-Aeronautical-University-Worldwide,
Emerson College,81%,"$44,900 USD",13:1,71%,"$36,720 USD",210,49.0%,1815,"Boston, Massachusetts",1815,"4,479",1914,Emerson-College,
Emmanuel College-Boston,58%,"$45,500 USD",13:1,99%,"$31,438 USD",,78.4%,1640,"Boston, Massachusetts",1640,"2,201",1915,Emmanuel-College-Boston,
Emmanuel College-Franklin Springs,45%,"$31,200 USD",12:1,100%,"$14,804 USD",,33.9%,1395,"Franklin Springs, Georgia",1395,884,1015,Emmanuel-College-Franklin-Springs,
Emmaus Bible College,48%,"$31,000 USD",9:1,100%,"$13,288 USD",,34.7%,1597,"Dubuque, Iowa",1597,247,1445,Emmaus-Bible-College,
Emory & Henry College,48%,"$38,600 USD",11:1,100%,"$21,299 USD",,76.4%,1435,"Emory, Virginia",1435,"1,117",4371,Emory-And-Henry-College,
Emory University,91%,"$59,400 USD",8:1,51%,"$25,928 USD",40,23.7%,2065,"Atlanta, Georgia",2065,"13,788",1016,Emory-University,
Empire College,,"$33,100 USD",15:1,90%,"$14,774 USD",,,,"Santa Rosa, California",,,36487,Empire-College,
Emporia State University,41%,"$35,700 USD",18:1,97%,"$12,645 USD",,87.0%,,"Emporia, Kansas",,"6,094",1531,Emporia-State-University,
Endicott College,70%,"$46,900 USD",14:1,92%,"$33,171 USD",498,72.8%,1595,"Beverly, Massachusetts",1595,"4,695",1917,Endicott-College,
Epic Bible College,0%,"$28,900 USD",9:1,67%,"$22,045 USD",,,,"Sacramento, California",,,621,Epic-Bible-College,
Erskine College,56%,"$37,600 USD",12:1,100%,"$11,986 USD",,64.3%,1470,"Due West, South Carolina",1470,761,3889,Erskine-College,
Escuela de Artes Plasticas y Diseno de Puerto Rico,41%,"$17,200 USD",13:1,97%,"$2,063 USD",,85.4%,,"San Juan, Puerto Rico",,573,4694,Escuela-de-Artes-Plasticas-y-Diseno-de-Puerto-Rico,
Eureka College,61%,"$35,500 USD",13:1,100%,"$16,547 USD",398,62.4%,1725,"Eureka, Illinois",1725,695,1177,Eureka-College,
Evangel University,51%,"$34,700 USD",14:1,100%,"$20,664 USD",,61.5%,1550,"Springfield, Missouri",1550,"1,958",2320,Evangel-University,
Everest University-Orange Park,60%,"$25,700 USD",18:1,98%,"$23,752 USD",,,,"Orange Park, Florida",,,6576,Everest-University-Orange-Park,
Everest University-Tampa,38%,"$25,700 USD",16:1,88%,"$21,849 USD",,,,"Tampa, Florida",,,952,Everest-University-Tampa,
Everglades University,33%,"$40,400 USD",11:1,82%,"$25,007 USD",,95.7%,,"Boca Raton, Florida",,"1,498",5315,Everglades-University,
Excelsior College,,,16:1,,,,,,"Albany, New York",,,2992,Excelsior-College,
Expression College for Digital Arts,0%,,9:1,85%,"$26,037 USD",,,,"Emeryville, California",,,6752,Expression-College-for-Digital-Arts,
Fairfield University,82%,"$68,500 USD",12:1,92%,"$36,598 USD",212,65.0%,1725,"Fairfield, Connecticut",1725,"5,138",740,Fairfield-University,
Fairleigh Dickinson University-College at Florham,54%,"$47,500 USD",17:1,100%,"$24,803 USD",480,83.2%,1545,"Madison, New Jersey",1545,"3,394",2582,Fairleigh-Dickinson-University-College-at-Florham,
Fairleigh Dickinson University-Metropolitan Campus,47%,"$47,500 USD",13:1,95%,"$16,929 USD",,79.5%,1500,"Teaneck, New Jersey",1500,"8,652",2580,Fairleigh-Dickinson-University-Metropolitan-Campus,
Fairmont State University,34%,"$33,400 USD",15:1,94%,"$8,897 USD",,64.8%,1387,"Fairmont, West Virginia",1387,"4,041",4544,Fairmont-State-University,
Faith Baptist Bible College and Theological Seminary,58%,"$29,800 USD",11:1,100%,"$13,650 USD",,64.2%,1560,"Ankeny, Iowa",1560,269,1447,Faith-Baptist-Bible-College-and-Theological-Seminary,
Faith Evangelical College & Seminary,83%,,15:1,89%,"$21,984 USD",,,,"Tacoma, Washington",,,6380,Faith-Evangelical-College-And-Seminary,
Faith Theological Seminary,69%,,11:1,64%,"$25,865 USD",,64.0%,,"Baltimore, Maryland",,150,8843,Faith-Theological-Seminary,
Family of Faith College,100%,,6:1,100%,"$13,505 USD",,,1027,"Shawnee, Oklahoma",1027,,6381,Family-of-Faith-College,
Farmingdale State College,43%,"$46,600 USD",19:1,83%,"$8,346 USD",,44.0%,1492,"Farmingdale, New York",1492,"8,648",2957,Farmingdale-State-College,
Fashion Institute of Design & Merchandising-Los Angeles,80%,"$35,400 USD",20:1,76%,"$39,602 USD",,49.3%,,"Los Angeles, California",,"2,814",357,Fashion-Institute-of-Design-And-Merchandising-Los-Angeles,
Fashion Institute of Design & Merchandising-San Francisco,,"$35,400 USD",21:1,89%,"$34,541 USD",,48.0%,,"San Francisco, California",,395,359,Fashion-Institute-of-Design-And-Merchandising-San-Francisco,
Fashion Institute of Technology,,"$45,200 USD",17:1,84%,"$10,736 USD",,41.0%,,"New York, New York",,"9,565",2783,Fashion-Institute-of-Technology,
Faulkner University,25%,"$37,200 USD",15:1,100%,"$20,119 USD",,57.3%,1420,"Montgomery, Alabama",1420,"3,262",19,Faulkner-University,
Fayetteville State University,32%,"$30,500 USD",17:1,98%,"$5,170 USD",,60.4%,1255,"Fayetteville, North Carolina",1255,"6,104",3061,Fayetteville-State-University,
Felician University,46%,"$40,300 USD",13:1,100%,"$16,055 USD",,78.8%,1320,"Lodi, New Jersey",1320,"1,957",2581,Felician-University,
Ferris State University,49%,"$41,500 USD",16:1,96%,"$12,813 USD",,78.2%,1455,"Big Rapids, Michigan",1455,"14,715",2053,Ferris-State-University,
Ferrum College,32%,"$36,400 USD",14:1,100%,"$17,798 USD",,72.9%,1305,"Ferrum, Virginia",1305,"1,334",4374,Ferrum-College,
Finlandia University,38%,"$27,000 USD",11:1,94%,"$23,967 USD",,45.9%,1265,"Hancock, Michigan",1265,536,2122,Finlandia-University,
Fisher College,40%,"$29,600 USD",17:1,90%,"$25,551 USD",,70.2%,1237,"Boston, Massachusetts",1237,"1,959",1920,Fisher-College,
Fisk University,37%,"$32,500 USD",13:1,99%,"$20,719 USD",,80.9%,1400,"Nashville, Tennessee",1400,855,3988,Fisk-University,
Fitchburg State University,50%,"$40,500 USD",14:1,90%,"$12,833 USD",,74.8%,1470,"Fitchburg, Massachusetts",1470,"6,598",1921,Fitchburg-State-University,
Five Towns College,37%,"$33,500 USD",15:1,94%,"$19,180 USD",,60.3%,1320,"Dix Hills, New York",1320,653,2785,Five-Towns-College,
Flagler College-St Augustine,63%,"$36,900 USD",16:1,89%,"$21,804 USD",489,50.5%,1579,"Saint Augustine, Florida",1579,"2,701",844,Flagler-College-St-Augustine,
Flagler College-Tallahassee,,"$36,900 USD",16:1,,,,,,"Tallahassee, Florida",,,6541,Flagler-College-Tallahassee,
Florida Agricultural and Mechanical University,41%,"$35,400 USD",16:1,96%,"$11,112 USD",,51.4%,1410,"Tallahassee, Florida",1410,"9,928",841,Florida-Agricultural-and-Mechanical-University,
Florida Atlantic University,41%,"$40,700 USD",23:1,77%,"$12,177 USD",,67.7%,1555,"Boca Raton, Florida",1555,"30,380",842,Florida-Atlantic-University,
Florida Career College-Miami,53%,"$30,100 USD",15:1,57%,"$34,677 USD",,,,"Miami, Florida",,,855,Florida-Career-College-Miami,
Florida College,14%,"$38,200 USD",13:1,92%,"$20,669 USD",,81.1%,1466,"Temple Terrace, Florida",1466,550,845,Florida-College,
Florida Gateway College,,"$28,000 USD",14:1,78%,"$4,973 USD",,,,"Lake City, Florida",,,882,Florida-Gateway-College,
Florida Gulf Coast University,44%,"$41,400 USD",22:1,71%,"$13,771 USD",,60.6%,1575,"Fort Myers, Florida",1575,"14,833",5939,Florida-Gulf-Coast-University,
Florida Institute of Technology,54%,"$55,200 USD",8:1,96%,"$32,319 USD",,57.4%,1777,"Melbourne, Florida",1777,"6,631",850,Florida-Institute-of-Technology,
Florida Institute of Technology-Online,,"$55,200 USD",23:1,,,,,,"Melbourne, Florida",,,8894,Florida-Institute-of-Technology-Online,
Florida International University,52%,"$43,700 USD",25:1,86%,"$11,326 USD",,50.4%,1610,"Miami, Florida",1610,"49,782",852,Florida-International-University,
Florida Memorial University,37%,"$26,200 USD",15:1,99%,"$14,969 USD",,24.3%,,"Miami Gardens, Florida",,"1,467",854,Florida-Memorial-University,
Florida National University-Main Campus,,"$20,900 USD",24:1,91%,"$20,019 USD",,,,"Hialeah, Florida",,,5484,Florida-National-University-Main-Campus,
Florida Polytechnic University,,,20:1,100%,"$15,261 USD",,51.8%,1702,"Lakeland, Florida",1702,924,8952,Florida-Polytechnic-University,
Florida Southern College,58%,"$38,500 USD",13:1,100%,"$24,589 USD",369,45.3%,1690,"Lakeland, Florida",1690,"2,869",856,Florida-Southern-College,
Florida SouthWestern State College,,"$32,500 USD",28:1,74%,"$7,624 USD",,,,"Fort Myers, Florida",,,838,Florida-SouthWestern-State-College,
Florida State College at Jacksonville,,"$31,300 USD",23:1,77%,"$6,935 USD",,,,"Jacksonville, Florida",,,843,Florida-State-College-at-Jacksonville,
Florida State University,77%,"$44,000 USD",25:1,88%,"$16,708 USD",161,55.9%,1800,"Tallahassee, Florida",1800,"40,830",857,Florida-State-University,
Florida Technical College,,"$25,000 USD",38:1,77%,"$16,429 USD",,,,"Orlando, Florida",,,858,Florida-Technical-College,
Fontbonne University,37%,"$39,400 USD",11:1,95%,"$18,514 USD",,96.8%,,"Saint Louis, Missouri",,"1,713",2321,Fontbonne-University,
Fordham University,81%,"$56,200 USD",14:1,91%,"$35,912 USD",127,47.6%,1895,"Bronx, New York",1895,"15,286",2786,Fordham-University,
Forest Institute of Professional Psychology,,,,,,,,,"Springfield, Missouri",,,36494,Forest-Institute-of-Professional-Psychology,
Fort Hays State University,44%,"$37,600 USD",16:1,96%,"$11,890 USD",,85.9%,,"Hays, Kansas",,"14,210",1533,Fort-Hays-State-University,
Fort Lewis College,37%,"$34,000 USD",17:1,95%,"$16,889 USD",,86.0%,1530,"Durango, Colorado",1530,"3,707",684,Fort-Lewis-College,
Fort Valley State University,30%,"$27,900 USD",17:1,100%,"$14,342 USD",,20.5%,1290,"Fort Valley, Georgia",1290,"2,696",1018,Fort-Valley-State-University,
Fortis College-Centerville,,"$28,700 USD",20:1,100%,"$19,240 USD",,,,"Centerville, Ohio",,,3373,Fortis-College-Centerville,
Fortis College-Cutler Bay,,"$21,200 USD",18:1,100%,"$26,963 USD",,,,"Cutler Bay, Florida",,,8889,Fortis-College-Cutler-Bay,
Fortis College-Largo,,"$21,200 USD",6:1,100%,"$24,616 USD",,,,"Largo, Florida",,,6744,Fortis-College-Largo,
Fountainhead College of Technology,90%,"$37,200 USD",10:1,90%,"$19,325 USD",350,,,"Knoxville, Tennessee",,,4053,Fountainhead-College-of-Technology,
